TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,Avant-garde HISTORY,,2020-07-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181721/62cd05ff-e7604368-99e2f539-d338b552.jpg,Roselia,오리지널,https://youtu.be/C3vzihABDZQ,https://namu.wiki/w/Avant-garde%20HISTORY
,Break your desire,,2020-07-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181721/62cd05ff-e7604368-99e2f539-d338b552.jpg,Roselia,오리지널,https://youtu.be/tzXB1HCJAQo,https://namu.wiki/w/Break%20your%20desire
,Song I am.,,2020-07-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181721/62cd05ff-e7604368-99e2f539-d338b552.jpg,Roselia,오리지널,https://youtu.be/Kohn9PRanoY,https://namu.wiki/w/Song%20I%20am.
,ZEAL of proud,,2021-01-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181826/c48c8ca6-d4b33576-99a2f28d-a0755839.jpg,Roselia,오리지널,https://youtu.be/LKvJhHQN4Y8?si=le1sWezsVT23iGd9,https://namu.wiki/w/ZEAL%20of%20proud
,Blessing Chord,,2021-01-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181826/c48c8ca6-d4b33576-99a2f28d-a0755839.jpg,Roselia,오리지널,https://youtu.be/qKYf5ozmgsE,https://namu.wiki/w/Blessing%20Chord
,Proud of oneself,,2021-06-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181922/7523e3b1-e0f4f9c7-cc81e862-9dea3e10.jpg,Roselia,오리지널,https://youtu.be/QJ5DMiLGliA,https://namu.wiki/w/Proud%20of%20oneself
,overtuRe,,2021-06-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181922/7523e3b1-e0f4f9c7-cc81e862-9dea3e10.jpg,Roselia,오리지널,https://youtu.be/ZbI7Cfdo4ZM,https://namu.wiki/w/overtuRe%28BanG%20Dream%21%29
,Sing Alive,,2021-06-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181922/7523e3b1-e0f4f9c7-cc81e862-9dea3e10.jpg,Roselia,오리지널,https://youtu.be/2zRyFvvZa-g,https://namu.wiki/w/Sing%20Alive
,Singing “OURS”,,2021-06-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181922/7523e3b1-e0f4f9c7-cc81e862-9dea3e10.jpg,Roselia,오리지널,https://youtu.be/rGkei9v-jz4,https://namu.wiki/w/Singing%20%22OURS%22
,雨上がりの夢,비 갠 뒤의 꿈,2021-06-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181922/7523e3b1-e0f4f9c7-cc81e862-9dea3e10.jpg,湊友希那,오리지널,https://youtu.be/iSlJTtfCqmY,https://namu.wiki/w/%E9%9B%A8%E4%B8%8A%E3%81%8C%E3%82%8A%E3%81%AE%E5%A4%A2
,Keep Heart,,2021-12-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181953/0abe615d-9534cab4-a9ee1c61-34755cac.jpg,Roselia,오리지널,https://youtu.be/_mLnocxHFds,https://namu.wiki/w/Keep%20Heart
,Original Call,,2021-12-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181953/0abe615d-9534cab4-a9ee1c61-34755cac.jpg,Roselia,오리지널,https://youtu.be/bEBMqlZkThs,https://namu.wiki/w/Original%20Call
,Sprechchor,,2021-12-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181958/1d80a91d-993ace10-d5962b9b-089ef9f3.jpg,Roselia,오리지널,https://youtu.be/FUwZjt6xx-M,https://namu.wiki/w/Sprechchor
,閃光,섬광,2022-05-18,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182145/9e2d3f7e-e5ab0f61-bed2046b-05d155b0.jpg,Roselia,오리지널,https://youtu.be/I0s49imrtho,https://namu.wiki/w/%E9%96%83%E5%85%89%28BanG%20Dream%21%29
,THE HISTORIC...,,2022-05-18,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182145/9e2d3f7e-e5ab0f61-bed2046b-05d155b0.jpg,Roselia,오리지널,https://youtu.be/okRTje9G9mw,https://namu.wiki/w/THE%20HISTORIC...
,ROZEN HORIZON,,2022-05-18,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182145/9e2d3f7e-e5ab0f61-bed2046b-05d155b0.jpg,Roselia,오리지널,https://youtu.be/8Cygbjd1h8Y,https://namu.wiki/w/ROZEN%20HORIZON
,Swear -Night & Day-,,2022-10-26,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182315/3d9457ca-5a939560-6c1c29c7-785635ba.jpg,Roselia,오리지널,https://youtu.be/p4qB0eBh698,https://namu.wiki/w/Swear%20~Night%20%26%20Day~
,Our Carol,,2022-10-26,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182315/3d9457ca-5a939560-6c1c29c7-785635ba.jpg,Roselia,오리지널,https://youtu.be/vpo80a6schg,https://namu.wiki/w/Our%20Carol
,THRONE OF ROSE,,2023-04-26,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182420/53accda9-8c7d6665-84059cb3-b2275704.jpg,Roselia,오리지널,https://youtu.be/H_ngLOaoMvs,https://namu.wiki/w/THRONE%20OF%20ROSE
,Dear Gleam,,2023-04-26,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182420/53accda9-8c7d6665-84059cb3-b2275704.jpg,Roselia,오리지널,https://youtu.be/ihQB9wYq89g,https://namu.wiki/w/Dear%20Gleam
,一逢のFull Glory,한 번의 만남 Full Glory,2023-04-26,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182420/53accda9-8c7d6665-84059cb3-b2275704.jpg,Roselia,오리지널,https://youtu.be/uXgEOq0544w,https://namu.wiki/w/%E4%B8%80%E9%80%A2%E3%81%AEFull%20Glory
,VIOLET LINE,,2023-12-13,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183523/bef56475-89283760-f7b74681-8ff4bdc0.jpg,Roselia,오리지널,https://youtu.be/-yVtSiKoc1c?si=JPx09t0ARCAvAc8B,https://namu.wiki/w/VIOLET%20LINE
,Call the shots,,2023-12-13,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183523/bef56475-89283760-f7b74681-8ff4bdc0.jpg,Roselia,오리지널,https://youtu.be/F77aqQzwGCs,https://namu.wiki/w/Call%20the%20shots
,Sunlit Musical,,2023-12-13,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183523/bef56475-89283760-f7b74681-8ff4bdc0.jpg,Roselia,오리지널,https://youtu.be/2JI1K2Y8s0o,https://namu.wiki/w/Sunlit%20Musical
