TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,青春 To Be Continued,청춘 To Be Continued,2023-05-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182426/4023886a-7015b4f4-08da65b8-2d773c74.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=inyz9fpWPT0,https://namu.wiki/w/%E9%9D%92%E6%98%A5%20To%20Be%20Continued
,Future Place,Future Place,2023-05-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182426/4023886a-7015b4f4-08da65b8-2d773c74.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=JonvwJvZFv4,https://namu.wiki/w/Future%20Place%28BanG%20Dream%21%29
,大好き！,정말 좋아해!,2023-05-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182426/4023886a-7015b4f4-08da65b8-2d773c74.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=NW5DnKrpr8M,https://namu.wiki/w/%E5%A4%A7%E5%A5%BD%E3%81%8D%EF%BC%81%28BanG%20Dream%21%29
,Five Letters,파이브 레터스,2023-05-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182426/4023886a-7015b4f4-08da65b8-2d773c74.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=-rDKKJcyyTU,https://namu.wiki/w/Five%20Letters
,RiNG A BELL,링 어 벨,2023-05-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182426/4023886a-7015b4f4-08da65b8-2d773c74.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=ai76D_byMgk,https://namu.wiki/w/RiNG%20A%20BELL
,Freedom,프리덤,2023-08-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183346/78cb9524-bc9a4b06-2af5f0f6-2fff2cd0.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=oy6OCnr9eAg,https://namu.wiki/w/Freedom%28BanG%20Dream%21%29
,新しい季節に,새로운 계절에,2024-01-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183705/5c373b03-9e2e71a8-1459c393-c35c7d4a.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=-rAMaaJ_3iY,https://namu.wiki/w/%E6%96%B0%E3%81%97%E3%81%84%E5%AD%A3%E7%AF%80%E3%81%AB
,ほな！,그럼!,2024-01-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183705/5c373b03-9e2e71a8-1459c393-c35c7d4a.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=hDgXSuDV51A,https://namu.wiki/w/%E3%81%BB%E3%81%AA%EF%BC%81
,Chu Chueen!,츄츄인!,2024-01-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183705/5c373b03-9e2e71a8-1459c393-c35c7d4a.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=5j2a4m1OQsg,https://namu.wiki/w/Chu%20Chueen%21
,TARINAI,타리나이,2024-07-17,https://lh3.googleusercontent.com/4LlJ_PEuRvNyWYpF08BvveOvK0_G9jkTyPD0VP3Sqi0GfUXHk7jp4kRWQD6MsWQJZifeux1dGUi-ASbu,Poppin'party,오리지널,https://www.youtube.com/watch?v=aIaSbIpxXb8,https://namu.wiki/w/TARINAI
,トレモロアイズ,트레몰로 아이즈,2024-07-17,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17184248/4ce4d9ab-8ab34ec8-7cf4f5f7-a1c27ebf.png,Poppin'Party,오리지널,https://www.youtube.com/watch?v=lsRTa_4Q9iU,https://namu.wiki/w/%E3%83%88%E3%83%AC%E3%83%A2%E3%83%AD%E3%82%A2%E3%82%A4%E3%82%BA
,Tomorrow's Door,투모로우즈 도어,2025-02-26,https://lh3.googleusercontent.com/8E3biRDE77YvIGKYFQsxiuee_X1vSHmLt7nIDtAXrdR1KztU8Z8GOHPFQMGGq8WQVIDjuUXOVhBUm_w,Poppin'Party,오리지널,https://www.youtube.com/watch?v=j7o8KLDowG8,https://namu.wiki/w/Tomorrow%27s%20Door
